osm_type,osm_id,name,address,phone,governorate,latitude,longitude
node,283583078,الصيدلية المركزية,تونس,,تونس,36.8334563,10.1809179
node,436206030,صيدلية الليل زهير العجيلي,Route de Gremda Km 4,+21674266380,,34.7706035,10.7328268
node,436206148,صيدلية سهلة بسباس حرم الشعبوني,"Route de Gremda Km 5, صفاقس",+21674267616,,34.7722604,10.73123
node,436206493,صيدلية سمير السلامي,,,القصرين,34.7744753,10.7292164
node,436207515,صيدلية منيرة بن سليمة حرم غربال,"طريق قرمدة, صفاقس",+21674611444,,34.7788242,10.7251899
node,439787668,صيدلية نجوى داود حرم بن جماعة,"Route de Gremda Km4 Sidi Abbes",+21674266294,,34.7675549,10.7355729
node,439797001,صيدلية صفية عطية حرم الزريبي,"Route de Gremda Km 3,5, صفاقس, 3062",+21674265265,,34.7639956,10.7385862
node,439798833,صيدلية عبد السلام غربال,"Route El Ain Km 2,2 Merkez El Alia, صفاقس, 3051",+21674247527,,34.7476686,10.7387226
node,439801004,صيدلية محمد عباس,"Route Lafrane Km 4, صفاقس",+21674267276,,34.7653453,10.7252509
node,492182121,حكموني,صفاقس,,صفاقس,34.7744753,10.7251899
